ski_area,state_full,lat,long,website,year_opened,remove
Liberty Mountain Resort,Pennsylvania,39.76433626,-77.37535171,www.libertymountainresort.com,1965,
Liberty Mountain Snowflex Centre,Virginia,37.35341841,-79.16673526,www.liberty.edu/snowflex,2009,
Little Switzerland,Wisconsin,43.33862047,-88.27896256,www.littleswitz.com,1941,
Lookout Pass Ski & Recreation Area,Idaho,47.45667689,-115.6971017,www.skilookout.com,1935,
Loon Mountain Recreation Corp.,New Hampshire,44.05697784,-71.63349681,www.loonmtn.com,1966,
"Lost Trail Ski Area, Inc.",Montana,45.69281947,-113.9520035,www.losttrail.com,1938,
Lost Valley Ski Area,Maine,44.13673209,-70.28289263,www.lostvalleyski.com,1961,
Loup Loup Ski Bowl,Washington,48.39505974,-119.9110344,www.skitheloup.com,1958,
Loveland Ski Area,Colorado,39.68071458,-105.897968,www.skiloveland.com,1937,
Lutsen Mountains,Minnesota,47.6642477,-90.71349133,www.lutsen.com,1948,
Mad River Glen,Vermont,44.20296106,-72.91734998,www.madriverglen.com,1948,
Mad River Mountain,Ohio,40.31866094,-83.67767051,www.skimadriver.com,1962,
Magic Mountain,Vermont,43.20248695,-72.77223653,www.magicmtn.com,1961,
Magic Mountain Resort,Idaho,42.19007474,-114.2852519,www.magicmountainresort.com,1945,
Mammoth Mountain Ski Area,California,37.65182772,-119.0268021,www.mammothmountain.com,1953,
Maple Ski Ridge,New York,42.81768485,-74.03211368,www.mapleskiridge.com,1964,
Marquette Mountain,Michigan,46.50887197,-87.42087407,marquettemountain.com,1959,
Massanutten Resort,Virginia,38.40722787,-78.71601501,www.massresort.com,1973,
Maverick Mountain Resort,Montana,45.43456297,-113.128345,www.skimaverick.com,1951,
McCauley Mtn. Ski Center,New York,43.69892501,-74.96344423,www.oldforgeny.com,1959,
McIntyre Ski Area,New Hampshire,43.0071298,-71.44184835,www.mcintyreskiarea.com,1971,
Meadowlark Ski Lodge,Wyoming,44.17456561,-107.2135767,www.lodgesofthebighorns.com,1963,
